"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"03.07.2023 01:00 - 03.07.2023 02:00","23705","23798"
"03.07.2023 02:00 - 03.07.2023 03:00","22895","22962"
"03.07.2023 03:00 - 03.07.2023 04:00","22736","22839"
"03.07.2023 04:00 - 03.07.2023 05:00","23220","23189"
"03.07.2023 05:00 - 03.07.2023 06:00","24253","24456"
"03.07.2023 06:00 - 03.07.2023 07:00","28440","28674"
"03.07.2023 07:00 - 03.07.2023 08:00","33586","34548"
"03.07.2023 08:00 - 03.07.2023 09:00","38683","39126"
"03.07.2023 09:00 - 03.07.2023 10:00","40761","40701"
"03.07.2023 10:00 - 03.07.2023 11:00","40725","40879"
"03.07.2023 11:00 - 03.07.2023 12:00","41112","40830"
"03.07.2023 12:00 - 03.07.2023 13:00","39696","39600"
"03.07.2023 13:00 - 03.07.2023 14:00","40194","39843"
"03.07.2023 14:00 - 03.07.2023 15:00","40911","40882"
"03.07.2023 15:00 - 03.07.2023 16:00","41556","42075"
"03.07.2023 16:00 - 03.07.2023 17:00","41559","42043"
"03.07.2023 17:00 - 03.07.2023 18:00","40742","41202"
"03.07.2023 18:00 - 03.07.2023 19:00","39290","39714"
"03.07.2023 19:00 - 03.07.2023 20:00","38609","39189"
"03.07.2023 20:00 - 03.07.2023 21:00","37395","38089"
"03.07.2023 21:00 - 03.07.2023 22:00","36838","37362"
"03.07.2023 22:00 - 03.07.2023 23:00","34326","34686"
"03.07.2023 23:00 - 04.07.2023 00:00","31758","31763"
"04.07.2023 00:00 - 04.07.2023 01:00","30177","29013"
"04.07.2023 01:00 - 04.07.2023 02:00","28490","27484"
"04.07.2023 02:00 - 04.07.2023 03:00","27435","26640"
"04.07.2023 03:00 - 04.07.2023 04:00","27089","26304"
"04.07.2023 04:00 - 04.07.2023 05:00","27176","26430"
"04.07.2023 05:00 - 04.07.2023 06:00","27861","27206"
"04.07.2023 06:00 - 04.07.2023 07:00","31109","30328"
"04.07.2023 07:00 - 04.07.2023 08:00","36206","35401"
"04.07.2023 08:00 - 04.07.2023 09:00","40531","40211"
"04.07.2023 09:00 - 04.07.2023 10:00","42009","41370"
"04.07.2023 10:00 - 04.07.2023 11:00","42102","40894"
"04.07.2023 11:00 - 04.07.2023 12:00","42169","40525"
"04.07.2023 12:00 - 04.07.2023 13:00","40959","39226"
"04.07.2023 13:00 - 04.07.2023 14:00","41008","39192"
"04.07.2023 14:00 - 04.07.2023 15:00","41863","40558"
"04.07.2023 15:00 - 04.07.2023 16:00","42545","41613"
"04.07.2023 16:00 - 04.07.2023 17:00","42581","41810"
"04.07.2023 17:00 - 04.07.2023 18:00","41959","40904"
"04.07.2023 18:00 - 04.07.2023 19:00","41396","40084"
"04.07.2023 19:00 - 04.07.2023 20:00","40541","39739"
"04.07.2023 20:00 - 04.07.2023 21:00","39415","38523"
"04.07.2023 21:00 - 04.07.2023 22:00","38292","37933"
"04.07.2023 22:00 - 04.07.2023 23:00","35940","35187"
"04.07.2023 23:00 - 05.07.2023 00:00","33067","32047"
"05.07.2023 00:00 - 05.07.2023 01:00","29433","29662"
"05.07.2023 01:00 - 05.07.2023 02:00","27743","28090"
"05.07.2023 02:00 - 05.07.2023 03:00","26835","27039"
"05.07.2023 03:00 - 05.07.2023 04:00","26456","26659"
"05.07.2023 04:00 - 05.07.2023 05:00","27545","26715"
"05.07.2023 05:00 - 05.07.2023 06:00","28227","27227"
"05.07.2023 06:00 - 05.07.2023 07:00","31313","30639"
"05.07.2023 07:00 - 05.07.2023 08:00","36260","35988"
"05.07.2023 08:00 - 05.07.2023 09:00","40940","40347"
"05.07.2023 09:00 - 05.07.2023 10:00","42082","41531"
"05.07.2023 10:00 - 05.07.2023 11:00","42065","41547"
"05.07.2023 11:00 - 05.07.2023 12:00","42055","41231"
"05.07.2023 12:00 - 05.07.2023 13:00","40702","39421"
"05.07.2023 13:00 - 05.07.2023 14:00","40875","39242"
"05.07.2023 14:00 - 05.07.2023 15:00","42115","40234"
"05.07.2023 15:00 - 05.07.2023 16:00","43020","41442"
"05.07.2023 16:00 - 05.07.2023 17:00","43264","41983"
"05.07.2023 17:00 - 05.07.2023 18:00","44057","41452"
"05.07.2023 18:00 - 05.07.2023 19:00","42847","40878"
"05.07.2023 19:00 - 05.07.2023 20:00","42125","40376"
"05.07.2023 20:00 - 05.07.2023 21:00","40716","39016"
"05.07.2023 21:00 - 05.07.2023 22:00","39828","38132"
"05.07.2023 22:00 - 05.07.2023 23:00","37256","35245"
"05.07.2023 23:00 - 06.07.2023 00:00","34486","32407"
"06.07.2023 00:00 - 06.07.2023 01:00","30416","29959"
"06.07.2023 01:00 - 06.07.2023 02:00","28805","28379"
"06.07.2023 02:00 - 06.07.2023 03:00","27643","27293"
"06.07.2023 03:00 - 06.07.2023 04:00","27220","26697"
"06.07.2023 04:00 - 06.07.2023 05:00","27246","26535"
"06.07.2023 05:00 - 06.07.2023 06:00","27544","27472"
"06.07.2023 06:00 - 06.07.2023 07:00","31023","30924"
"06.07.2023 07:00 - 06.07.2023 08:00","36110","36649"
"06.07.2023 08:00 - 06.07.2023 09:00","40606","41779"
"06.07.2023 09:00 - 06.07.2023 10:00","41975","43284"
"06.07.2023 10:00 - 06.07.2023 11:00","41967","42829"
"06.07.2023 11:00 - 06.07.2023 12:00","41489","42704"
"06.07.2023 12:00 - 06.07.2023 13:00","39867","40503"
"06.07.2023 13:00 - 06.07.2023 14:00","39889","40587"
"06.07.2023 14:00 - 06.07.2023 15:00","40605","41273"
"06.07.2023 15:00 - 06.07.2023 16:00","41960","41287"
"06.07.2023 16:00 - 06.07.2023 17:00","42402","41364"
"06.07.2023 17:00 - 06.07.2023 18:00","41487","40919"
"06.07.2023 18:00 - 06.07.2023 19:00","40504","40239"
"06.07.2023 19:00 - 06.07.2023 20:00","40070","39417"
"06.07.2023 20:00 - 06.07.2023 21:00","38576","38281"
"06.07.2023 21:00 - 06.07.2023 22:00","38335","37594"
"06.07.2023 22:00 - 06.07.2023 23:00","35928","34754"
"06.07.2023 23:00 - 07.07.2023 00:00","32572","32061"
"07.07.2023 00:00 - 07.07.2023 01:00","31159","29309"
"07.07.2023 01:00 - 07.07.2023 02:00","29360","27599"
"07.07.2023 02:00 - 07.07.2023 03:00","28123","26422"
"07.07.2023 03:00 - 07.07.2023 04:00","27344","25863"
"07.07.2023 04:00 - 07.07.2023 05:00","26986","25769"
"07.07.2023 05:00 - 07.07.2023 06:00","27989","26420"
"07.07.2023 06:00 - 07.07.2023 07:00","31257","29518"
"07.07.2023 07:00 - 07.07.2023 08:00","36721","34409"
"07.07.2023 08:00 - 07.07.2023 09:00","41702","38836"
"07.07.2023 09:00 - 07.07.2023 10:00","43588","40192"
"07.07.2023 10:00 - 07.07.2023 11:00","43375","39705"
"07.07.2023 11:00 - 07.07.2023 12:00","43073","39279"
"07.07.2023 12:00 - 07.07.2023 13:00","41054","38156"
"07.07.2023 13:00 - 07.07.2023 14:00","40917","38169"
"07.07.2023 14:00 - 07.07.2023 15:00","41558","39499"
"07.07.2023 15:00 - 07.07.2023 16:00","41826","40027"
"07.07.2023 16:00 - 07.07.2023 17:00","41730","40070"
"07.07.2023 17:00 - 07.07.2023 18:00","41352","39362"
"07.07.2023 18:00 - 07.07.2023 19:00","40767","38951"
"07.07.2023 19:00 - 07.07.2023 20:00","40128","38513"
"07.07.2023 20:00 - 07.07.2023 21:00","39078","37286"
"07.07.2023 21:00 - 07.07.2023 22:00","37626","36444"
"07.07.2023 22:00 - 07.07.2023 23:00","34998","33931"
"07.07.2023 23:00 - 08.07.2023 00:00","32461","31393"
"08.07.2023 00:00 - 08.07.2023 01:00","29677","29154"
"08.07.2023 01:00 - 08.07.2023 02:00","27804","27412"
"08.07.2023 02:00 - 08.07.2023 03:00","26549","26191"
"08.07.2023 03:00 - 08.07.2023 04:00","25854","25489"
"08.07.2023 04:00 - 08.07.2023 05:00","25528","25137"
"08.07.2023 05:00 - 08.07.2023 06:00","25658","25120"
"08.07.2023 06:00 - 08.07.2023 07:00","26825","26184"
"08.07.2023 07:00 - 08.07.2023 08:00","29467","28618"
"08.07.2023 08:00 - 08.07.2023 09:00","32073","31466"
"08.07.2023 09:00 - 08.07.2023 10:00","33379","33137"
"08.07.2023 10:00 - 08.07.2023 11:00","32946","33105"
"08.07.2023 11:00 - 08.07.2023 12:00","32421","32364"
"08.07.2023 12:00 - 08.07.2023 13:00","31515","31943"
"08.07.2023 13:00 - 08.07.2023 14:00","31150","31508"
"08.07.2023 14:00 - 08.07.2023 15:00","31454","31338"
"08.07.2023 15:00 - 08.07.2023 16:00","31928","31445"
"08.07.2023 16:00 - 08.07.2023 17:00","32591","32354"
"08.07.2023 17:00 - 08.07.2023 18:00","33367","33634"
"08.07.2023 18:00 - 08.07.2023 19:00","34816","34659"
"08.07.2023 19:00 - 08.07.2023 20:00","34985","34878"
"08.07.2023 20:00 - 08.07.2023 21:00","34626","34202"
"08.07.2023 21:00 - 08.07.2023 22:00","34178","33709"
"08.07.2023 22:00 - 08.07.2023 23:00","32315","31810"
"08.07.2023 23:00 - 09.07.2023 00:00","30135","29726"
"09.07.2023 00:00 - 09.07.2023 01:00","26495","27717"
"09.07.2023 01:00 - 09.07.2023 02:00","24808","26093"
"09.07.2023 02:00 - 09.07.2023 03:00","23719","24911"
"09.07.2023 03:00 - 09.07.2023 04:00","22947","24140"
"09.07.2023 04:00 - 09.07.2023 05:00","22716","23832"
"09.07.2023 05:00 - 09.07.2023 06:00","22467","23377"
"09.07.2023 06:00 - 09.07.2023 07:00","22751","23382"
"09.07.2023 07:00 - 09.07.2023 08:00","24163","24824"
"09.07.2023 08:00 - 09.07.2023 09:00","26147","26625"
"09.07.2023 09:00 - 09.07.2023 10:00","27608","28015"
"09.07.2023 10:00 - 09.07.2023 11:00","28377","28417"
"09.07.2023 11:00 - 09.07.2023 12:00","28405","28786"
"09.07.2023 12:00 - 09.07.2023 13:00","28598","29165"
"09.07.2023 13:00 - 09.07.2023 14:00","28360","28905"
"09.07.2023 14:00 - 09.07.2023 15:00","28645","28606"
"09.07.2023 15:00 - 09.07.2023 16:00","28932","28922"
"09.07.2023 16:00 - 09.07.2023 17:00","29801","29901"
"09.07.2023 17:00 - 09.07.2023 18:00","31148","31389"
"09.07.2023 18:00 - 09.07.2023 19:00","32310","33054"
"09.07.2023 19:00 - 09.07.2023 20:00","33127","33800"
"09.07.2023 20:00 - 09.07.2023 21:00","33331","33880"
"09.07.2023 21:00 - 09.07.2023 22:00","33385","34194"
"09.07.2023 22:00 - 09.07.2023 23:00","32107","32828"
"09.07.2023 23:00 - 10.07.2023 00:00","29716","30413"
"10.07.2023 00:00 - 10.07.2023 01:00","28074","27978"
"10.07.2023 01:00 - 10.07.2023 02:00","26552","26355"
"10.07.2023 02:00 - 10.07.2023 03:00","25257","25293"
"10.07.2023 03:00 - 10.07.2023 04:00","24604","24729"
"10.07.2023 04:00 - 10.07.2023 05:00","24696","24806"
"10.07.2023 05:00 - 10.07.2023 06:00","25829","26159"
"10.07.2023 06:00 - 10.07.2023 07:00","30101","30379"
"10.07.2023 07:00 - 10.07.2023 08:00","35878","36256"
"10.07.2023 08:00 - 10.07.2023 09:00","41113","41498"
"10.07.2023 09:00 - 10.07.2023 10:00","43911","43761"
"10.07.2023 10:00 - 10.07.2023 11:00","43908","44412"
"10.07.2023 11:00 - 10.07.2023 12:00","44355","44875"
"10.07.2023 12:00 - 10.07.2023 13:00","43440","44277"
"10.07.2023 13:00 - 10.07.2023 14:00","44501","44905"
"10.07.2023 14:00 - 10.07.2023 15:00","45409","46078"
"10.07.2023 15:00 - 10.07.2023 16:00","46018","46437"
"10.07.2023 16:00 - 10.07.2023 17:00","46644","47004"
"10.07.2023 17:00 - 10.07.2023 18:00","45768","46563"
"10.07.2023 18:00 - 10.07.2023 19:00","44768","45720"
"10.07.2023 19:00 - 10.07.2023 20:00","43878","44911"
"10.07.2023 20:00 - 10.07.2023 21:00","42561","43910"
"10.07.2023 21:00 - 10.07.2023 22:00","41263","43266"
"10.07.2023 22:00 - 10.07.2023 23:00","38475","40097"
"10.07.2023 23:00 - 11.07.2023 00:00","35528","36712"
"11.07.2023 00:00 - 11.07.2023 01:00","32321","33541"
"11.07.2023 01:00 - 11.07.2023 02:00","30308","31519"
"11.07.2023 02:00 - 11.07.2023 03:00","29245","30168"
"11.07.2023 03:00 - 11.07.2023 04:00","28694","29379"
"11.07.2023 04:00 - 11.07.2023 05:00","29369","29326"
"11.07.2023 05:00 - 11.07.2023 06:00","30125","29943"
"11.07.2023 06:00 - 11.07.2023 07:00","33087","33191"
"11.07.2023 07:00 - 11.07.2023 08:00","38395","38596"
"11.07.2023 08:00 - 11.07.2023 09:00","43662","43921"
"11.07.2023 09:00 - 11.07.2023 10:00","45928","46144"
"11.07.2023 10:00 - 11.07.2023 11:00","46508","46650"
"11.07.2023 11:00 - 11.07.2023 12:00","47081","47137"
"11.07.2023 12:00 - 11.07.2023 13:00","46266","46358"
"11.07.2023 13:00 - 11.07.2023 14:00","46895","46770"
"11.07.2023 14:00 - 11.07.2023 15:00","48539","47971"
"11.07.2023 15:00 - 11.07.2023 16:00","49108","48413"
"11.07.2023 16:00 - 11.07.2023 17:00","49534","48834"
"11.07.2023 17:00 - 11.07.2023 18:00","48153","48210"
"11.07.2023 18:00 - 11.07.2023 19:00","46732","47533"
"11.07.2023 19:00 - 11.07.2023 20:00","46038","46626"
"11.07.2023 20:00 - 11.07.2023 21:00","44441","45463"
"11.07.2023 21:00 - 11.07.2023 22:00","43326","44451"
"11.07.2023 22:00 - 11.07.2023 23:00","40691","41103"
"11.07.2023 23:00 - 12.07.2023 00:00","37298","37671"
"12.07.2023 00:00 - 12.07.2023 01:00","35146","34661"
"12.07.2023 01:00 - 12.07.2023 02:00","33196","32374"
"12.07.2023 02:00 - 12.07.2023 03:00","31828","30899"
"12.07.2023 03:00 - 12.07.2023 04:00","30997","30242"
"12.07.2023 04:00 - 12.07.2023 05:00","30883","29867"
"12.07.2023 05:00 - 12.07.2023 06:00","31399","30460"
"12.07.2023 06:00 - 12.07.2023 07:00","34057","33748"
"12.07.2023 07:00 - 12.07.2023 08:00","39380","39206"
"12.07.2023 08:00 - 12.07.2023 09:00","44543","44738"
"12.07.2023 09:00 - 12.07.2023 10:00","46998","47345"
"12.07.2023 10:00 - 12.07.2023 11:00","47613","47708"
"12.07.2023 11:00 - 12.07.2023 12:00","48156","47251"
"12.07.2023 12:00 - 12.07.2023 13:00","47001","45649"
"12.07.2023 13:00 - 12.07.2023 14:00","47561","46048"
"12.07.2023 14:00 - 12.07.2023 15:00","48612","47012"
"12.07.2023 15:00 - 12.07.2023 16:00","49278","47457"
"12.07.2023 16:00 - 12.07.2023 17:00","49436","47867"
"12.07.2023 17:00 - 12.07.2023 18:00","48744","47201"
"12.07.2023 18:00 - 12.07.2023 19:00","47587","46160"
"12.07.2023 19:00 - 12.07.2023 20:00","46633","45161"
"12.07.2023 20:00 - 12.07.2023 21:00","45282","43890"
"12.07.2023 21:00 - 12.07.2023 22:00","44430","42860"
"12.07.2023 22:00 - 12.07.2023 23:00","41531","39575"
"12.07.2023 23:00 - 13.07.2023 00:00","38548","36317"
"13.07.2023 00:00 - 13.07.2023 01:00","34730","33442"
"13.07.2023 01:00 - 13.07.2023 02:00","32631","31271"
"13.07.2023 02:00 - 13.07.2023 03:00","31393","29976"
"13.07.2023 03:00 - 13.07.2023 04:00","30662","29325"
"13.07.2023 04:00 - 13.07.2023 05:00","30200","29177"
"13.07.2023 05:00 - 13.07.2023 06:00","30802","29695"
"13.07.2023 06:00 - 13.07.2023 07:00","33686","32917"
"13.07.2023 07:00 - 13.07.2023 08:00","39450","38003"
"13.07.2023 08:00 - 13.07.2023 09:00","44635","42210"
"13.07.2023 09:00 - 13.07.2023 10:00","47023","44243"
"13.07.2023 10:00 - 13.07.2023 11:00","47176","44554"
"13.07.2023 11:00 - 13.07.2023 12:00","47320","44196"
"13.07.2023 12:00 - 13.07.2023 13:00","46168","42322"
"13.07.2023 13:00 - 13.07.2023 14:00","46292","43315"
"13.07.2023 14:00 - 13.07.2023 15:00","47413","44442"
"13.07.2023 15:00 - 13.07.2023 16:00","48312","44572"
"13.07.2023 16:00 - 13.07.2023 17:00","48745","46186"
"13.07.2023 17:00 - 13.07.2023 18:00","48171","45802"
"13.07.2023 18:00 - 13.07.2023 19:00","47721","44425"
"13.07.2023 19:00 - 13.07.2023 20:00","46807","43746"
"13.07.2023 20:00 - 13.07.2023 21:00","45038","42590"
"13.07.2023 21:00 - 13.07.2023 22:00","44046","41745"
"13.07.2023 22:00 - 13.07.2023 23:00","40802","39185"
"13.07.2023 23:00 - 14.07.2023 00:00","37351","36232"
"14.07.2023 00:00 - 14.07.2023 01:00","33815","33582"
"14.07.2023 01:00 - 14.07.2023 02:00","31612","31557"
"14.07.2023 02:00 - 14.07.2023 03:00","30443","30172"
"14.07.2023 03:00 - 14.07.2023 04:00","29883","29568"
"14.07.2023 04:00 - 14.07.2023 05:00","29217","29341"
"14.07.2023 05:00 - 14.07.2023 06:00","29780","30058"
"14.07.2023 06:00 - 14.07.2023 07:00","32881","33073"
"14.07.2023 07:00 - 14.07.2023 08:00","37964","37900"
"14.07.2023 08:00 - 14.07.2023 09:00","42313","43048"
"14.07.2023 09:00 - 14.07.2023 10:00","44200","45542"
"14.07.2023 10:00 - 14.07.2023 11:00","44648","45887"
"14.07.2023 11:00 - 14.07.2023 12:00","44478","45742"
"14.07.2023 12:00 - 14.07.2023 13:00","43007","44519"
"14.07.2023 13:00 - 14.07.2023 14:00","43563","44648"
"14.07.2023 14:00 - 14.07.2023 15:00","44404","45073"
"14.07.2023 15:00 - 14.07.2023 16:00","44614","44743"
"14.07.2023 16:00 - 14.07.2023 17:00","44705","45331"
"14.07.2023 17:00 - 14.07.2023 18:00","44141","44812"
"14.07.2023 18:00 - 14.07.2023 19:00","43570","43995"
"14.07.2023 19:00 - 14.07.2023 20:00","42868","43199"
"14.07.2023 20:00 - 14.07.2023 21:00","41802","41739"
"14.07.2023 21:00 - 14.07.2023 22:00","41033","41093"
"14.07.2023 22:00 - 14.07.2023 23:00","38418","38449"
"14.07.2023 23:00 - 15.07.2023 00:00","35681","35964"
"15.07.2023 00:00 - 15.07.2023 01:00","33833","33431"
"15.07.2023 01:00 - 15.07.2023 02:00","31706","31465"
"15.07.2023 02:00 - 15.07.2023 03:00","30212","30130"
"15.07.2023 03:00 - 15.07.2023 04:00","29393","29164"
"15.07.2023 04:00 - 15.07.2023 05:00","28463","28787"
"15.07.2023 05:00 - 15.07.2023 06:00","28248","28597"
"15.07.2023 06:00 - 15.07.2023 07:00","28855","28965"
"15.07.2023 07:00 - 15.07.2023 08:00","31231","31556"
"15.07.2023 08:00 - 15.07.2023 09:00","34340","34281"
"15.07.2023 09:00 - 15.07.2023 10:00","36461","35648"
"15.07.2023 10:00 - 15.07.2023 11:00","36735","36178"
"15.07.2023 11:00 - 15.07.2023 12:00","36363","36074"
"15.07.2023 12:00 - 15.07.2023 13:00","35678","35800"
"15.07.2023 13:00 - 15.07.2023 14:00","35155","35194"
"15.07.2023 14:00 - 15.07.2023 15:00","34613","35318"
"15.07.2023 15:00 - 15.07.2023 16:00","34505","35299"
"15.07.2023 16:00 - 15.07.2023 17:00","35262","36219"
"15.07.2023 17:00 - 15.07.2023 18:00","35995","37917"
"15.07.2023 18:00 - 15.07.2023 19:00","37396","38450"
"15.07.2023 19:00 - 15.07.2023 20:00","37836","38594"
"15.07.2023 20:00 - 15.07.2023 21:00","37556","37701"
"15.07.2023 21:00 - 15.07.2023 22:00","36598","37276"
"15.07.2023 22:00 - 15.07.2023 23:00","35063","35353"
"15.07.2023 23:00 - 16.07.2023 00:00","32845","33013"
"16.07.2023 00:00 - 16.07.2023 01:00","30903","30926"
"16.07.2023 01:00 - 16.07.2023 02:00","28967","29220"
"16.07.2023 02:00 - 16.07.2023 03:00","27643","27793"
"16.07.2023 03:00 - 16.07.2023 04:00","26783","26697"
"16.07.2023 04:00 - 16.07.2023 05:00","26401","26042"
"16.07.2023 05:00 - 16.07.2023 06:00","26015","25332"
"16.07.2023 06:00 - 16.07.2023 07:00","25696","24950"
"16.07.2023 07:00 - 16.07.2023 08:00","26768","26547"
"16.07.2023 08:00 - 16.07.2023 09:00","28573","28610"
"16.07.2023 09:00 - 16.07.2023 10:00","30100","29978"
"16.07.2023 10:00 - 16.07.2023 11:00","31176","30844"
"16.07.2023 11:00 - 16.07.2023 12:00","31953","31526"
"16.07.2023 12:00 - 16.07.2023 13:00","32438","32559"
"16.07.2023 13:00 - 16.07.2023 14:00","32295","32530"
"16.07.2023 14:00 - 16.07.2023 15:00","32229","32495"
"16.07.2023 15:00 - 16.07.2023 16:00","32274","32889"
"16.07.2023 16:00 - 16.07.2023 17:00","32884","33560"
"16.07.2023 17:00 - 16.07.2023 18:00","33743","34763"
"16.07.2023 18:00 - 16.07.2023 19:00","34698","35867"
"16.07.2023 19:00 - 16.07.2023 20:00","35763","36677"
"16.07.2023 20:00 - 16.07.2023 21:00","36073","36997"
"16.07.2023 21:00 - 16.07.2023 22:00","36489","37557"
"16.07.2023 22:00 - 16.07.2023 23:00","35376","36174"
"16.07.2023 23:00 - 17.07.2023 00:00","33248","33455"
"17.07.2023 00:00 - 17.07.2023 01:00","31648","30505"
"17.07.2023 01:00 - 17.07.2023 02:00","29741","28668"
"17.07.2023 02:00 - 17.07.2023 03:00","28762","27516"
"17.07.2023 03:00 - 17.07.2023 04:00","28251","26804"
"17.07.2023 04:00 - 17.07.2023 05:00","28359","27038"
"17.07.2023 05:00 - 17.07.2023 06:00","29536","28279"
"17.07.2023 06:00 - 17.07.2023 07:00","33193","32270"
"17.07.2023 07:00 - 17.07.2023 08:00","37998","37758"
"17.07.2023 08:00 - 17.07.2023 09:00","42919","43458"
"17.07.2023 09:00 - 17.07.2023 10:00","46188","46286"
"17.07.2023 10:00 - 17.07.2023 11:00","47057","46990"
"17.07.2023 11:00 - 17.07.2023 12:00","47287","47490"
"17.07.2023 12:00 - 17.07.2023 13:00","46621","46952"
"17.07.2023 13:00 - 17.07.2023 14:00","47198","47821"
"17.07.2023 14:00 - 17.07.2023 15:00","48275","49114"
"17.07.2023 15:00 - 17.07.2023 16:00","47883","49562"
"17.07.2023 16:00 - 17.07.2023 17:00","48543","50159"
"17.07.2023 17:00 - 17.07.2023 18:00","47878","50012"
"17.07.2023 18:00 - 17.07.2023 19:00","46603","48938"
"17.07.2023 19:00 - 17.07.2023 20:00","45893","48270"
"17.07.2023 20:00 - 17.07.2023 21:00","44275","47121"
"17.07.2023 21:00 - 17.07.2023 22:00","43692","46324"
"17.07.2023 22:00 - 17.07.2023 23:00","40790","43003"
"17.07.2023 23:00 - 18.07.2023 00:00","37763","39645"
"18.07.2023 00:00 - 18.07.2023 01:00","36479","36316"
"18.07.2023 01:00 - 18.07.2023 02:00","34214","34163"
"18.07.2023 02:00 - 18.07.2023 03:00","32639","32659"
"18.07.2023 03:00 - 18.07.2023 04:00","32145","31931"
"18.07.2023 04:00 - 18.07.2023 05:00","31899","31808"
"18.07.2023 05:00 - 18.07.2023 06:00","32628","32145"
"18.07.2023 06:00 - 18.07.2023 07:00","35466","35048"
"18.07.2023 07:00 - 18.07.2023 08:00","40582","40443"
"18.07.2023 08:00 - 18.07.2023 09:00","45558","45848"
"18.07.2023 09:00 - 18.07.2023 10:00","47743","48554"
"18.07.2023 10:00 - 18.07.2023 11:00","48970","49396"
"18.07.2023 11:00 - 18.07.2023 12:00","49415","50046"
"18.07.2023 12:00 - 18.07.2023 13:00","49203","49412"
"18.07.2023 13:00 - 18.07.2023 14:00","49985","50087"
"18.07.2023 14:00 - 18.07.2023 15:00","51473","51482"
"18.07.2023 15:00 - 18.07.2023 16:00","51975","51845"
"18.07.2023 16:00 - 18.07.2023 17:00","52319","52184"
"18.07.2023 17:00 - 18.07.2023 18:00","51333","51776"
"18.07.2023 18:00 - 18.07.2023 19:00","50220","50578"
"18.07.2023 19:00 - 18.07.2023 20:00","49363","49331"
"18.07.2023 20:00 - 18.07.2023 21:00","48018","47975"
"18.07.2023 21:00 - 18.07.2023 22:00","45872","47102"
"18.07.2023 22:00 - 18.07.2023 23:00","43546","43899"
"18.07.2023 23:00 - 19.07.2023 00:00","40089","40437"
"19.07.2023 00:00 - 19.07.2023 01:00","37406","37181"
"19.07.2023 01:00 - 19.07.2023 02:00","35096","34908"
"19.07.2023 02:00 - 19.07.2023 03:00","33377","33439"
"19.07.2023 03:00 - 19.07.2023 04:00","32629","32640"
"19.07.2023 04:00 - 19.07.2023 05:00","32509","32301"
"19.07.2023 05:00 - 19.07.2023 06:00","33060","32964"
"19.07.2023 06:00 - 19.07.2023 07:00","35535","36013"
"19.07.2023 07:00 - 19.07.2023 08:00","41189","41288"
"19.07.2023 08:00 - 19.07.2023 09:00","46441","46475"
"19.07.2023 09:00 - 19.07.2023 10:00","48906","49326"
"19.07.2023 10:00 - 19.07.2023 11:00","50093","50694"
"19.07.2023 11:00 - 19.07.2023 12:00","50566","50796"
"19.07.2023 12:00 - 19.07.2023 13:00","50142","50040"
"19.07.2023 13:00 - 19.07.2023 14:00","50970","50640"
"19.07.2023 14:00 - 19.07.2023 15:00","52008","51545"
"19.07.2023 15:00 - 19.07.2023 16:00","52382","52083"
"19.07.2023 16:00 - 19.07.2023 17:00","52669","52630"
"19.07.2023 17:00 - 19.07.2023 18:00","51496","52409"
"19.07.2023 18:00 - 19.07.2023 19:00","50288","51553"
"19.07.2023 19:00 - 19.07.2023 20:00","49228","50040"
"19.07.2023 20:00 - 19.07.2023 21:00","48057","48490"
"19.07.2023 21:00 - 19.07.2023 22:00","46830","47321"
"19.07.2023 22:00 - 19.07.2023 23:00","44217","43879"
"19.07.2023 23:00 - 20.07.2023 00:00","40782","40510"
"20.07.2023 00:00 - 20.07.2023 01:00","36773","37092"
"20.07.2023 01:00 - 20.07.2023 02:00","34629","34944"
"20.07.2023 02:00 - 20.07.2023 03:00","33394","33480"
"20.07.2023 03:00 - 20.07.2023 04:00","32552","32516"
"20.07.2023 04:00 - 20.07.2023 05:00","32751","32084"
"20.07.2023 05:00 - 20.07.2023 06:00","33066","32709"
"20.07.2023 06:00 - 20.07.2023 07:00","35990","35636"
"20.07.2023 07:00 - 20.07.2023 08:00","41236","40507"
"20.07.2023 08:00 - 20.07.2023 09:00","46274","45244"
"20.07.2023 09:00 - 20.07.2023 10:00","48923","47694"
"20.07.2023 10:00 - 20.07.2023 11:00","50185","48570"
"20.07.2023 11:00 - 20.07.2023 12:00","50739","48957"
"20.07.2023 12:00 - 20.07.2023 13:00","49749","48041"
"20.07.2023 13:00 - 20.07.2023 14:00","50669","48717"
"20.07.2023 14:00 - 20.07.2023 15:00","51502","49762"
"20.07.2023 15:00 - 20.07.2023 16:00","51920","50452"
"20.07.2023 16:00 - 20.07.2023 17:00","52186","50974"
"20.07.2023 17:00 - 20.07.2023 18:00","51275","50696"
"20.07.2023 18:00 - 20.07.2023 19:00","50293","49726"
"20.07.2023 19:00 - 20.07.2023 20:00","49046","48708"
"20.07.2023 20:00 - 20.07.2023 21:00","48166","47465"
"20.07.2023 21:00 - 20.07.2023 22:00","47316","46675"
"20.07.2023 22:00 - 20.07.2023 23:00","45008","43493"
"20.07.2023 23:00 - 21.07.2023 00:00","41630","40182"
"21.07.2023 00:00 - 21.07.2023 01:00","37657","37221"
"21.07.2023 01:00 - 21.07.2023 02:00","35498","35055"
"21.07.2023 02:00 - 21.07.2023 03:00","33965","33566"
"21.07.2023 03:00 - 21.07.2023 04:00","32833","32602"
